workload,iteration,wall_ms,scanner_elapsed_ms,traversal_us,aggregation_us,indexing_us,initial_view_ms,entries_per_second
directory-rich,1,141.551083,141,140459,895,0,0.17375,777818.1393356065
directory-rich,2,142.326291,142,141045,1073,0,0.1845,773581.6006053302
directory-rich,3,130.854167,130,129708,940,0,0.173917,841402.3223272668
directory-rich,4,130.208917,129,128860,1127,0,0.187,845571.8896732702
directory-rich,5,134.138167,133,132894,1028,0,0.185541,820802.9262842096
directory-rich,6,146.898167,146,145681,1019,0,0.170167,749505.608194553
directory-rich,7,141.664708,141,140547,932,0,0.155209,777194.2748083735
directory-rich,8,147.49975,147,146364,942,0,0.167625,746448.7227944453
directory-rich,9,140.621875,140,139238,1127,0,0.232125,782957.8435076334
wide,1,90.411375,90,89595,642,0,0.141667,1107183.6923174767
wide,2,94.731333,94,93933,640,0,0.128167,1056693.6707203307
wide,3,96.087333,95,95317,621,0,0.121125,1041781.438558608
wide,4,96.130125,95,95351,623,0,0.125875,1041317.6930748816
wide,5,93.881833,93,93054,663,0,0.138709,1066255.2785904808
wide,6,94.157125,94,93311,693,0,0.121209,1063137.8135218127
wide,7,98.843125,98,98087,599,0,0.129291,1012736.090648692
wide,8,92.953375,92,92087,703,0,0.131042,1076905.4915972657
wide,9,91.3095,91,90548,614,0,0.127583,1096293.3758261737
