workload,backend,iteration,wall_ms,scanner_elapsed_ms,traversal_us,aggregation_us,indexing_us,initial_view_ms,entries_per_second
directory-rich,jwalk,1,145.287166,145,144108,993,0,0.161834,757816.4199307185
directory-rich,jwalk,2,144.887625,144,143731,956,0,0.172916,759906.1686600219
directory-rich,jwalk,3,139.369250,139,138099,1055,0,0.188667,789994.9235573844
directory-rich,jwalk,4,126.549000,126,125064,1246,0,0.209083,870026.6300010273
directory-rich,jwalk,5,120.257417,120,119084,955,0,0.178208,915544.3609769200
directory-rich,jwalk,6,126.533875,126,125329,996,0,0.174375,870130.6270751607
directory-rich,jwalk,7,145.527500,145,144249,1078,0,0.176833,756564.9104121214
directory-rich,jwalk,8,152.071166,151,150777,1066,0,0.194459,724009.7047720407
directory-rich,jwalk,9,141.947542,141,140789,958,0,0.170333,775645.6959289932
directory-rich,getattrlistbulk,1,89.454208,89,88504,718,0,0.207583,1230808.5048385875
directory-rich,getattrlistbulk,2,86.005375,85,85142,679,0,0.159916,1280164.1757855250
directory-rich,getattrlistbulk,3,82.026458,81,81130,701,0,0.163375,1342262.0296490190
directory-rich,getattrlistbulk,4,86.582625,86,85563,717,0,0.169417,1271629.2674194160
directory-rich,getattrlistbulk,5,82.869542,82,81983,682,0,0.173625,1328606.3533451168
directory-rich,getattrlistbulk,6,82.028375,81,81146,690,0,0.161125,1342230.6610365012
directory-rich,getattrlistbulk,7,82.981125,82,82085,681,0,0.182541,1326819.8039011883
directory-rich,getattrlistbulk,8,88.190292,87,87223,747,0,0.192167,1248448.0718127114
directory-rich,getattrlistbulk,9,102.463417,102,101563,691,0,0.179542,1074539.6086097735
wide,jwalk,1,93.731083,93,92928,648,0,0.126625,1067970.1631101390
wide,jwalk,2,93.111375,92,92300,653,0,0.126000,1075078.0986748398
wide,jwalk,3,94.557625,94,93761,641,0,0.127959,1058634.8800533009
wide,jwalk,4,79.174291,79,78329,693,0,0.125834,1264324.5520190387
wide,jwalk,5,82.859750,82,81978,704,0,0.146666,1208089.5730436070
wide,jwalk,6,78.287875,78,77404,729,0,0.131166,1278639.8915540879
wide,jwalk,7,90.646000,90,89823,664,0,0.126250,1104317.8959909978
wide,jwalk,8,92.669791,92,91841,666,0,0.127417,1080200.9902018663
wide,jwalk,9,89.640666,89,88768,715,0,0.131666,1116702.9928135518
wide,getattrlistbulk,1,14.747375,14,13902,682,0,0.127292,6787784.2666915300
wide,getattrlistbulk,2,14.156416,13,13306,667,0,0.148709,7071140.0399649180
wide,getattrlistbulk,3,13.579792,13,12792,627,0,0.126667,7371394.2010304720
wide,getattrlistbulk,4,13.425666,13,12640,627,0,0.126667,7456017.4519461460
wide,getattrlistbulk,5,45.689625,45,44862,660,0,0.141375,2190913.1449426430
wide,getattrlistbulk,6,33.998792,33,33157,666,0,0.145875,2944281.0791630480
wide,getattrlistbulk,7,14.487208,14,13698,633,0,0.128750,6909681.9759887485
wide,getattrlistbulk,8,14.517459,14,13731,638,0,0.124500,6895283.8096529150
wide,getattrlistbulk,9,14.026250,13,13229,641,0,0.128625,7136761.4294626145
