workload,backend,iteration,traversal_us,wall_us,cancellation_latency_us
ntfs-8192-files,jwalk,1,317982,318266,
ntfs-8192-files,jwalk,2,326977,327338,
ntfs-8192-files,jwalk,3,272931,273229,
ntfs-8192-files,jwalk,4,420181,420555,
ntfs-8192-files,jwalk,5,304161,304570,
ntfs-8192-files,jwalk,6,285627,285862,
ntfs-8192-files,jwalk,7,310103,310316,
ntfs-8192-files,jwalk,8,273701,274148,
ntfs-8192-files,jwalk,9,270118,270414,
ntfs-8192-files,mft,1,139346,140349,
ntfs-8192-files,mft,2,179027,180245,
ntfs-8192-files,mft,3,167526,168614,
ntfs-8192-files,mft,4,156035,157029,
ntfs-8192-files,mft,5,160129,161027,
ntfs-8192-files,mft,6,146598,147444,
ntfs-8192-files,mft,7,152940,153843,
ntfs-8192-files,mft,8,156644,158050,
ntfs-8192-files,mft,9,185003,186444,
ntfs-8192-files,mft-cancel,1,,,1021
ntfs-8192-files,mft-cancel,2,,,671
ntfs-8192-files,mft-cancel,3,,,638
ntfs-8192-files,mft-cancel,4,,,971
ntfs-8192-files,mft-cancel,5,,,721
ntfs-8192-files,mft-cancel,6,,,712
ntfs-8192-files,mft-cancel,7,,,711
ntfs-8192-files,mft-cancel,8,,,1124
ntfs-8192-files,mft-cancel,9,,,818
