workload,backend,iteration,traversal_us,scanner_elapsed_ms,wall_us,cancellation_latency_us
directory-rich,jwalk,1,25582,26,26186,
directory-rich,jwalk,2,26086,26,26688,
directory-rich,jwalk,3,27334,28,28058,
directory-rich,jwalk,4,24787,25,25388,
directory-rich,jwalk,5,21158,21,21756,
directory-rich,jwalk,6,30303,31,31547,
directory-rich,jwalk,7,19409,20,20074,
directory-rich,jwalk,8,22851,23,23451,
directory-rich,jwalk,9,26059,26,26646,
directory-rich,statx,1,38433,39,39046,
directory-rich,statx,2,34850,35,35495,
directory-rich,statx,3,38941,39,39574,
directory-rich,statx,4,38263,38,39017,
directory-rich,statx,5,31048,31,31989,
directory-rich,statx,6,31865,32,32607,
directory-rich,statx,7,33021,33,33660,
directory-rich,statx,8,31354,31,31970,
directory-rich,statx,9,31406,32,32030,
wide,jwalk,1,14075,14,14609,
wide,jwalk,2,11684,12,12236,
wide,jwalk,3,12738,13,13558,
wide,jwalk,4,14491,14,14941,
wide,jwalk,5,14065,14,14503,
wide,jwalk,6,13162,13,13691,
wide,jwalk,7,13654,14,14114,
wide,jwalk,8,14186,14,14735,
wide,jwalk,9,12967,13,13514,
wide,statx,1,22299,23,23459,
wide,statx,2,17534,18,18081,
wide,statx,3,17630,18,18187,
wide,statx,4,19340,20,20404,
wide,statx,5,18782,19,19944,
wide,statx,6,19780,20,20851,
wide,statx,7,18830,19,19337,
wide,statx,8,17768,18,18308,
wide,statx,9,16432,17,17779,
real-tree,jwalk,1,2747,2,2767,
real-tree,jwalk,2,2431,2,2447,
real-tree,jwalk,3,2431,2,2453,
real-tree,jwalk,4,2292,2,2316,
real-tree,jwalk,5,2285,2,2306,
real-tree,jwalk,6,2283,2,2305,
real-tree,jwalk,7,2656,2,2682,
real-tree,jwalk,8,2304,2,2325,
real-tree,jwalk,9,2543,2,2564,
real-tree,statx,1,3222,3,3252,
real-tree,statx,2,3030,3,3059,
real-tree,statx,3,2701,2,2745,
real-tree,statx,4,2240,2,2268,
real-tree,statx,5,2006,2,2027,
real-tree,statx,6,2569,2,2608,
real-tree,statx,7,2865,2,2896,
real-tree,statx,8,2708,2,2736,
real-tree,statx,9,2877,2,2910,
directory-rich,statx-cancel,1,,,,202
directory-rich,statx-cancel,2,,,,144
directory-rich,statx-cancel,3,,,,165
directory-rich,statx-cancel,4,,,,213
directory-rich,statx-cancel,5,,,,135
directory-rich,statx-cancel,6,,,,200
directory-rich,statx-cancel,7,,,,249
directory-rich,statx-cancel,8,,,,178
directory-rich,statx-cancel,9,,,,213
wide,statx-cancel,1,,,,186
wide,statx-cancel,2,,,,170
wide,statx-cancel,3,,,,205
wide,statx-cancel,4,,,,205
wide,statx-cancel,5,,,,233
wide,statx-cancel,6,,,,211
wide,statx-cancel,7,,,,228
wide,statx-cancel,8,,,,222
wide,statx-cancel,9,,,,170
