experiment,workload,variant,metric,samples,median,unit
backend-policy,directory-rich-101011,jwalk,traversal,"26048;14262;16729;15764;19009;16909;19386;20106;17209;18357;19013;17620;18704;17395;14328",17620,us
backend-policy,directory-rich-101011,statx,traversal,"27074;22814;22888;27857;24182;26734;26683;23292;22004;26499;26646;26484;25477;27079;24928",26484,us
backend-policy,wide-100102,jwalk,traversal,"16870;16891;16779;18683;17875;16386;15241;15029;16520;18230;20924;16376;15396;17645;15752",16779,us
backend-policy,wide-100102,statx,traversal,"18494;23193;17506;19018;16275;22170;20026;17789;17333;19439;20374;17617;18626;19086;18151",18626,us
backend-policy,directory-rich-101011,jwalk,peak-rss,"41112;49324;53408;48964;40652",48964,KiB
backend-policy,directory-rich-101011,statx,peak-rss,"18556;18124;18344;19272;18348",18348,KiB
backend-policy,wide-100102,jwalk,peak-rss,"42532;44548;43196;42528;43400",43196,KiB
backend-policy,wide-100102,statx,peak-rss,"19256;20660;20300;19992;19316",19992,KiB
backend-policy,directory-rich-101011,jwalk,cancellation,"444;543;499;802;475;567;2004;310;314;428;645;395;480;2951;2883;696;416;601;340;572;635",543,us
backend-policy,directory-rich-101011,statx,cancellation,"195;213;168;133;195;214;132;214;216;235;189;178;142;145;209;199;222;190;190;187;145",190,us
backend-policy,wide-100102,jwalk,cancellation,"3014;2298;3241;4697;2952;1802;2706;3519;3028;2248;3047;2300;2120;2657;2105;3676;1728;2973;2706;4425;2419",2706,us
backend-policy,wide-100102,statx,cancellation,"229;210;208;201;200;230;176;213;203;173;205;140;241;213;150;173;231;71;204;202;148",203,us
batch-size,directory-rich-101011,512,traversal,"23186;20642;21031;27036;20851;22656;23854;27545;25771;27471;24780;26873;26608;26268;25654",25654,us
batch-size,directory-rich-101011,1024,traversal,"21861;21597;25156;26400;27082;26655;26407;27331;23438;26746;25448;27358;26859;20719;20213",26400,us
batch-size,wide-100102,512,traversal,"18248;23825;19478;20886;20155;21205;20126;22061;20211;19557;20231;18740;23293;20593;19429",20211,us
batch-size,wide-100102,1024,traversal,"21811;24113;19837;20532;21276;23738;19868;21284;20628;16869;21714;22295;22163;22059;21409",21409,us
lazy-paths,directory-rich-101011,baseline,traversal,"27850;27526;21254;23495;20625;25358;21282;20582;20487;22557;21373;20763;25868;23714;26642",22557,us
lazy-paths,directory-rich-101011,lazy,traversal,"24354;22349;22277;23549;21238;21319;20458;20869;19369;21131;18947;20017;21127;20318;23284",21131,us
lazy-paths,wide-100102,baseline,traversal,"17959;19307;20101;18739;20319;25386;19938;16074;20846;21424;20069;18574;20058;18071;20747",20058,us
lazy-paths,wide-100102,lazy,traversal,"19897;16266;17577;17875;18031;20167;19150;17400;15448;16458;21362;16472;16157;19944;20654",17875,us
lazy-paths,directory-rich-101011,lazy,peak-rss,"18436;18840;19144;19296;19048",19048,KiB
lazy-paths,wide-100102,lazy,peak-rss,"23060;19836;20460;19492;20716",20460,KiB
lazy-paths,directory-rich-101011,lazy,cancellation,"194;193;197;224;229;171;192;131;190;177;1038;188;193;237;207;159;187;203;135;126;193",193,us
lazy-paths,wide-100102,lazy,cancellation,"189;177;187;203;158;199;148;192;209;215;202;186;67;198;127;204;166;195;143;159;111",187,us
