variant,workload,round,traversal_us,wall_us
baseline,directory-rich,1,45611,46252
baseline,wide,1,23857,24922
combined-complete,directory-rich,1,47098,48375
combined-complete,wide,1,20244,21219
combined-complete,directory-rich,2,57540,58893
combined-complete,wide,2,20502,21947
baseline,directory-rich,2,60711,61439
baseline,wide,2,22533,23117
baseline,directory-rich,3,59392,60439
baseline,wide,3,20568,21128
combined-complete,directory-rich,3,53520,54137
combined-complete,wide,3,24441,25587
combined-complete,directory-rich,4,38438,39064
combined-complete,wide,4,24279,25355
baseline,directory-rich,4,60192,61587
baseline,wide,4,21639,22682
baseline,directory-rich,5,46874,47520
baseline,wide,5,22433,23228
combined-complete,directory-rich,5,61911,62613
combined-complete,wide,5,21341,22420
combined-complete,directory-rich,6,43225,43827
combined-complete,wide,6,19547,20108
baseline,directory-rich,6,49427,50056
baseline,wide,6,21890,22944
baseline,directory-rich,7,57415,59340
baseline,wide,7,19659,20899
combined-complete,directory-rich,7,63662,64882
combined-complete,wide,7,18885,20089
combined-complete,directory-rich,8,64494,65741
combined-complete,wide,8,22202,23382
baseline,directory-rich,8,47294,48652
baseline,wide,8,17982,18492
baseline,directory-rich,9,38853,39590
baseline,wide,9,20378,20951
combined-complete,directory-rich,9,41176,41776
combined-complete,wide,9,20192,20889
