variant,workload,round,latency_us
q2,directory-rich,1,257
q2,wide,1,211
q16,directory-rich,1,225
q16,wide,1,173
q16,directory-rich,2,241
q16,wide,2,97
q2,directory-rich,2,236
q2,wide,2,239
q2,directory-rich,3,142
q2,wide,3,246
q16,directory-rich,3,187
q16,wide,3,218
q16,directory-rich,4,157
q16,wide,4,182
q2,directory-rich,4,234
q2,wide,4,190
q2,directory-rich,5,147
q2,wide,5,165
q16,directory-rich,5,253
q16,wide,5,241
q16,directory-rich,6,146
q16,wide,6,197
q2,directory-rich,6,246
q2,wide,6,170
q2,directory-rich,7,228
q2,wide,7,209
q16,directory-rich,7,222
q16,wide,7,227
q16,directory-rich,8,208
q16,wide,8,220
q2,directory-rich,8,220
q2,wide,8,215
q2,directory-rich,9,142
q2,wide,9,208
q16,directory-rich,9,241
q16,wide,9,180
q16,directory-rich,10,144
q16,wide,10,266
q2,directory-rich,10,272
q2,wide,10,171
q2,directory-rich,11,220
q2,wide,11,185
q16,directory-rich,11,241
q16,wide,11,199
q16,directory-rich,12,267
q16,wide,12,226
q2,directory-rich,12,236
q2,wide,12,226
q2,directory-rich,13,231
q2,wide,13,196
q16,directory-rich,13,205
q16,wide,13,182
q16,directory-rich,14,126
q16,wide,14,214
q2,directory-rich,14,194
q2,wide,14,221
q2,directory-rich,15,223
q2,wide,15,203
q16,directory-rich,15,247
q16,wide,15,213
q16,directory-rich,16,145
q16,wide,16,181
q2,directory-rich,16,222
q2,wide,16,205
q2,directory-rich,17,302
q2,wide,17,221
q16,directory-rich,17,226
q16,wide,17,221
q16,directory-rich,18,144
q16,wide,18,97
q2,directory-rich,18,214
q2,wide,18,233
q2,directory-rich,19,241
q2,wide,19,224
q16,directory-rich,19,147
q16,wide,19,205
q16,directory-rich,20,227
q16,wide,20,252
q2,directory-rich,20,223
q2,wide,20,201
q2,directory-rich,21,147
q2,wide,21,246
q16,directory-rich,21,202
q16,wide,21,176
