variant,workload,round,traversal_us,wall_us
q2,directory-rich,1,50469,51197
q2,wide,1,20242,21184
q16,directory-rich,1,46847,48098
q16,wide,1,20684,21286
q16,directory-rich,2,40536,41930
q16,wide,2,20378,20939
q2,directory-rich,2,60947,61617
q2,wide,2,20493,21546
q2,directory-rich,3,51347,51978
q2,wide,3,21058,22259
q16,directory-rich,3,57309,58553
q16,wide,3,19596,20236
q16,directory-rich,4,48875,49521
q16,wide,4,18488,18999
q2,directory-rich,4,42538,43158
q2,wide,4,19623,20718
q2,directory-rich,5,44433,45034
q2,wide,5,18460,19040
q16,directory-rich,5,40031,40854
q16,wide,5,18953,19527
q16,directory-rich,6,38945,39581
q16,wide,6,19205,19696
q2,directory-rich,6,62545,63162
q2,wide,6,23755,24866
q2,directory-rich,7,46426,47083
q2,wide,7,19367,20094
q16,directory-rich,7,60395,61232
q16,wide,7,24833,25904
q16,directory-rich,8,37049,37687
q16,wide,8,20699,21263
q2,directory-rich,8,48013,49316
q2,wide,8,19762,20412
q2,directory-rich,9,48942,50581
q2,wide,9,21959,23089
q16,directory-rich,9,39439,40046
q16,wide,9,21899,22928
q16,directory-rich,10,38285,38998
q16,wide,10,19673,20746
q2,directory-rich,10,40061,40689
q2,wide,10,17753,19037
q2,directory-rich,11,40255,40873
q2,wide,11,17707,18253
q16,directory-rich,11,38250,38983
q16,wide,11,20363,21565
q16,directory-rich,12,37816,38442
q16,wide,12,18912,20102
q2,directory-rich,12,52808,53553
q2,wide,12,21307,22188
q2,directory-rich,13,45716,46337
q2,wide,13,17779,18357
q16,directory-rich,13,44646,45272
q16,wide,13,17339,17881
q16,directory-rich,14,47544,48173
q16,wide,14,17730,18312
q2,directory-rich,14,38637,39601
q2,wide,14,16986,17544
q2,directory-rich,15,46747,47348
q2,wide,15,18703,19255
q16,directory-rich,15,39072,39691
q16,wide,15,18980,20222
