variant,workload,round,traversal_us,wall_us
q16,directory-rich,1,40895,41497
q16,wide,1,20688,21731
q8,directory-rich,1,45921,46772
q8,wide,1,18448,19511
q4,directory-rich,1,49246,49847
q4,wide,1,18768,19339
q2,directory-rich,1,43807,44539
q2,wide,1,16683,17276
q4,directory-rich,2,38991,39597
q4,wide,2,16833,17447
q2,directory-rich,2,38296,38936
q2,wide,2,19487,20743
q16,directory-rich,2,45935,47196
q16,wide,2,20720,21858
q8,directory-rich,2,46843,47500
q8,wide,2,18378,19500
q8,directory-rich,3,44823,45564
q8,wide,3,20815,21788
q16,directory-rich,3,47172,47805
q16,wide,3,22455,24027
q2,directory-rich,3,37414,38040
q2,wide,3,20522,21610
q4,directory-rich,3,37066,37814
q4,wide,3,21667,22714
q2,directory-rich,4,38663,39277
q2,wide,4,20325,21454
q4,directory-rich,4,45836,47126
q4,wide,4,22266,23354
q8,directory-rich,4,38969,39814
q8,wide,4,20061,21097
q16,directory-rich,4,42037,42704
q16,wide,4,18453,19061
q16,directory-rich,5,37463,38155
q16,wide,5,16930,17491
q8,directory-rich,5,45174,45825
q8,wide,5,21919,22953
q4,directory-rich,5,41989,43326
q4,wide,5,22363,23455
q2,directory-rich,5,63714,64509
q2,wide,5,21490,22676
q4,directory-rich,6,39971,40730
q4,wide,6,21562,22134
q2,directory-rich,6,61307,62565
q2,wide,6,20520,21029
q16,directory-rich,6,37596,38242
q16,wide,6,20895,21469
q8,directory-rich,6,48129,49465
q8,wide,6,18044,18587
q8,directory-rich,7,52019,52696
q8,wide,7,18945,19558
q16,directory-rich,7,63142,64442
q16,wide,7,20853,22161
q2,directory-rich,7,48078,49068
q2,wide,7,21649,22605
q4,directory-rich,7,49162,49786
q4,wide,7,18649,19208
q2,directory-rich,8,44474,45771
q2,wide,8,22482,23050
q4,directory-rich,8,62779,63387
q4,wide,8,21280,22342
q8,directory-rich,8,43903,45271
q8,wide,8,19387,19961
q16,directory-rich,8,42733,43491
q16,wide,8,21949,22525
q16,directory-rich,9,44478,45743
q16,wide,9,19403,20612
q8,directory-rich,9,45428,46657
q8,wide,9,19943,20941
q4,directory-rich,9,39227,40026
q4,wide,9,21504,22729
q2,directory-rich,9,59474,60094
q2,wide,9,22148,22731
