variant,workload,round,traversal_us,wall_us
fixed-8,directory-rich,1,42740,43347
fixed-8,wide,1,25245,26346
adaptive-16,directory-rich,1,49761,50488
adaptive-16,wide,1,18661,19203
adaptive-16,directory-rich,2,52784,54056
adaptive-16,wide,2,15211,15791
fixed-8,directory-rich,2,40296,40948
fixed-8,wide,2,18148,19175
fixed-8,directory-rich,3,43939,44652
fixed-8,wide,3,19056,20020
adaptive-16,directory-rich,3,53941,55316
adaptive-16,wide,3,14115,15374
adaptive-16,directory-rich,4,50086,50741
adaptive-16,wide,4,14853,15492
fixed-8,directory-rich,4,40975,41583
fixed-8,wide,4,21275,22449
fixed-8,directory-rich,5,41644,42269
fixed-8,wide,5,22241,22901
adaptive-16,directory-rich,5,44184,44816
adaptive-16,wide,5,13186,13774
adaptive-16,directory-rich,6,48675,49984
adaptive-16,wide,6,13973,14715
fixed-8,directory-rich,6,42738,43366
fixed-8,wide,6,20004,20549
fixed-8,directory-rich,7,46693,47302
fixed-8,wide,7,22853,23421
adaptive-16,directory-rich,7,38319,38973
adaptive-16,wide,7,13978,14612
