platform,workload,metric,variant,samples,median,unit
macos,directory-rich-110101,wall,baseline,"208.909666;164.437167;131.087250;148.438375;140.243542;133.480375;122.647292;111.665334;113.579084;170.803709;151.697375",140.243542,ms
macos,directory-rich-110101,wall,scan-revision,"152.453750;169.706875;158.517541;138.226917;120.255209;120.544833;115.649625;111.400291;136.849584;133.108500;134.141583",134.141583,ms
macos,wide-100102,wall,baseline,"171.339458;197.138250;172.740667;190.495708;172.678583;174.893542;172.489000;172.494416;185.714292;171.030208;174.178959",172.740667,ms
macos,wide-100102,wall,scan-revision,"176.063708;179.196166;173.012958;171.815417;170.868416;170.274750;170.415333;176.876167;197.612375;169.514000;165.839000",171.815417,ms
macos,directory-rich-110101,peak-rss,baseline,"34668544;34766848;34242560;35061760;34668544",34668544,bytes
macos,directory-rich-110101,peak-rss,scan-revision,"48545792;37748736;47923200;38010880;37765120",38010880,bytes
linux,directory-rich-101011,traversal,scan-revision,"26199;23649;22825;30767;24566;22340;22992;24042;23860",23860,us
linux,directory-rich-101011,wall,scan-revision,"27831;25064;24188;32210;26128;23063;24177;25283;25123",25123,us
linux,directory-rich-101011,peak-rss,scan-revision,18712,18712,KiB
windows,ntfs-volume-8001-files,traversal,baseline,"119079;140194;124376;118456;114908;118130;120524;151512;145056;130692;122216",122216,us
windows,ntfs-volume-8001-files,traversal,scan-revision,"120625;139756;115586;112365;116231;123041;115778;118373;123171;118623;123848",118623,us
