platform,variant,iteration,node_count,nodes_at_request,nodes_at_return,foreground_elapsed_us,cancellation_latency_us,background_release_us
macos,foreground-drop,1,1000000,501760,503808,135767,56943,
macos,foreground-drop,2,1000000,501760,503808,104726,69188,
macos,foreground-drop,3,1000000,501760,503808,44115,19796,
macos,foreground-drop,4,1000000,501760,503808,96017,32098,
macos,foreground-drop,5,1000000,501760,503808,32107,16327,
macos,foreground-drop,6,1000000,501760,503808,53074,38550,
macos,foreground-drop,7,1000000,501760,503808,38747,22220,
macos,foreground-drop,8,1000000,501760,503808,35846,22126,
macos,foreground-drop,9,1000000,501760,503808,59492,23394,
macos,background-drop,1,1000000,501760,503808,3744,91,6001
macos,background-drop,2,1000000,501760,503808,3734,78,6736
macos,background-drop,3,1000000,501760,503808,10624,6967,6185
macos,background-drop,4,1000000,501760,503808,3717,63,5833
macos,background-drop,5,1000000,501760,503808,21058,14217,5755
macos,background-drop,6,1000000,501760,503808,82306,12822,1458
macos,background-drop,7,1000000,501760,503808,57307,9173,6170
macos,background-drop,8,1000000,501760,503808,28505,3050,7301
macos,background-drop,9,1000000,501760,503808,2613,69,5965
linux,background-drop,1,1000000,501760,503808,3084,59,9180
linux,background-drop,2,1000000,501760,503808,3063,61,12228
linux,background-drop,3,1000000,501760,503808,3089,55,11595
linux,background-drop,4,1000000,501760,503808,3150,54,8858
linux,background-drop,5,1000000,501760,503808,3304,60,11638
linux,background-drop,6,1000000,501760,503808,6059,72,8967
linux,background-drop,7,1000000,501760,503808,3003,60,11382
linux,background-drop,8,1000000,501760,503808,3338,192,12645
linux,background-drop,9,1000000,501760,503808,3650,46,11947
