variant,iteration,initial_view_ms,response_bytes,serialization_us,list_items,chart_items
before,1,0.387375,443439,503,17,4641
before,2,0.480125,443439,352,17,4641
before,3,0.334791,443439,358,17,4641
before,4,0.338333,443439,359,17,4641
before,5,0.389167,443439,335,17,4641
before,6,0.331125,443439,346,17,4641
before,7,0.370500,443439,389,17,4641
before,8,0.318958,443439,368,17,4641
before,9,0.403417,443439,399,17,4641
after,1,0.044500,51449,136,17,512
after,2,0.044458,51449,52,17,512
after,3,0.051625,51449,116,17,512
after,4,0.041541,51449,118,17,512
after,5,0.037792,51449,77,17,512
after,6,0.047875,51449,47,17,512
after,7,0.044708,51449,40,17,512
after,8,0.038916,51449,43,17,512
after,9,0.039292,51449,48,17,512
