variant,round,order,initial_view_ms,wall_ms,initial_response_bytes,snapshot_retained_bytes
"baseline","1","first",16.650402000000003,509.037634,63402,78803311
"adaptive","1","second",10.503177,486.81498600000003,63402,78803311
"adaptive","2","first",10.246112,473.288297,63402,78803311
"baseline","2","second",17.105738,477.959132,63402,78803311
"baseline","3","first",16.541456999999998,517.717969,63402,78803311
"adaptive","3","second",10.709091,483.079993,63402,78803311
"adaptive","4","first",10.434573,531.139255,63402,78803311
"baseline","4","second",17.24765,500.98550100000006,63402,78803311
"baseline","5","first",16.649362,504.785395,63402,78803311
"adaptive","5","second",12.153552999999999,485.13038800000004,63402,78803311
"adaptive","6","first",10.849796999999999,473.776576,63402,78803311
"baseline","6","second",17.122892,482.8259,63402,78803311
"baseline","7","first",33.268765,519.0827690000001,63402,78803311
"adaptive","7","second",12.053652999999999,491.317677,63402,78803311
"adaptive","8","first",10.667359,480.73749,63402,78803311
"baseline","8","second",16.514547,486.391956,63402,78803311
"baseline","9","first",16.697806,496.07604399999997,63402,78803311
"adaptive","9","second",10.951585,473.07889400000005,63402,78803311
"adaptive","10","first",10.425297,481.363447,63402,78803311
"baseline","10","second",17.257951000000002,496.876898,63402,78803311
"baseline","11","first",16.804645,513.7401150000001,63402,78803311
"adaptive","11","second",15.015627,487.373836,63402,78803311
"adaptive","12","first",12.579582,489.584466,63402,78803311
"baseline","12","second",16.78189,481.525731,63402,78803311
"baseline","13","first",16.763839,477.955655,63402,78803311
"adaptive","13","second",10.803149,477.361619,63402,78803311
"adaptive","14","first",10.155119000000001,490.854962,63402,78803311
"baseline","14","second",16.596284,487.440783,63402,78803311
"baseline","15","first",17.016113999999998,483.809709,63402,78803311
"adaptive","15","second",10.577286,492.765326,63402,78803311
