variant,round,order,initial_view_ms,wall_ms,initial_response_bytes,snapshot_retained_bytes
"baseline","1","first",6.027107,247.699733,63281,39401727
"buffer2","1","second",9.23762,248.463955,63281,39401727
"buffer16","1","third",4.891235,247.934573,63281,39401727
"buffer16","2","first",4.932652,247.531953,63281,39401727
"baseline","2","second",6.640039000000001,245.128512,63281,39401727
"buffer2","2","third",8.844015,239.730988,63281,39401727
"buffer2","3","first",8.761149,241.537439,63281,39401727
"buffer16","3","second",5.177239999999999,236.80895099999998,63281,39401727
"baseline","3","third",9.25344,254.3572,63281,39401727
"baseline","4","first",6.869611,249.57393199999999,63281,39401727
"buffer2","4","second",8.849668,248.198994,63281,39401727
"buffer16","4","third",4.857703,251.974853,63281,39401727
"buffer16","5","first",4.858986,235.421758,63281,39401727
"baseline","5","second",6.423642999999999,245.401447,63281,39401727
"buffer2","5","third",12.875628,258.575361,63281,39401727
"buffer2","6","first",8.571278,244.748586,63281,39401727
"buffer16","6","second",4.862557,234.86513,63281,39401727
"baseline","6","third",6.100281,242.92879100000002,63281,39401727
"baseline","7","first",6.999423999999999,246.07494499999999,63281,39401727
"buffer2","7","second",9.0357,239.444313,63281,39401727
"buffer16","7","third",5.839474,236.026024,63281,39401727
"buffer16","8","first",5.2660800000000005,234.906928,63281,39401727
"baseline","8","second",6.513358,239.776713,63281,39401727
"buffer2","8","third",9.003401,235.69357399999998,63281,39401727
"buffer2","9","first",8.795829,235.824436,63281,39401727
"buffer16","9","second",5.144424,233.756353,63281,39401727
"baseline","9","third",6.121638000000001,252.54668000000004,63281,39401727
"baseline","10","first",8.79724,255.552491,63281,39401727
"buffer2","10","second",8.881755,237.041056,63281,39401727
"buffer16","10","third",4.818242000000001,267.418971,63281,39401727
"buffer16","11","first",4.742046,239.86481500000002,63281,39401727
"baseline","11","second",5.858263,258.692411,63281,39401727
"buffer2","11","third",12.111125000000001,247.69587900000002,63281,39401727
"buffer2","12","first",8.888632000000001,238.815456,63281,39401727
"buffer16","12","second",4.637482,235.19052200000002,63281,39401727
"baseline","12","third",6.52265,238.987039,63281,39401727
"baseline","13","first",5.840245,234.956789,63281,39401727
"buffer2","13","second",8.633764000000001,241.085363,63281,39401727
"buffer16","13","third",4.9435340000000005,249.135257,63281,39401727
"buffer16","14","first",5.503636,234.75831,63281,39401727
"baseline","14","second",5.837033,253.42950400000004,63281,39401727
"buffer2","14","third",8.706953,234.817077,63281,39401727
"buffer2","15","first",10.032464,248.348329,63281,39401727
"buffer16","15","second",5.003565,242.695231,63281,39401727
"baseline","15","third",6.311085,235.539309,63281,39401727
