variant,round,order,initial_view_ms,wall_ms,initial_response_bytes,snapshot_retained_bytes
"baseline","1","first",3.8868750000000003,797.8795,63204.0,38651729.0
"adaptive","1","second",3.410334,999.719875,63204.0,38651729.0
"adaptive","2","first",262.477083,1025.073709,63204.0,38651729.0
"baseline","2","second",88.009709,1047.929334,63204.0,38651729.0
"baseline","3","first",6.609625,1013.4580419999999,63206.0,38651729.0
"adaptive","3","second",10.687416,1016.6330409999999,63206.0,38651729.0
"adaptive","4","first",6.5181249999999995,1062.310541,63206.0,38651729.0
"baseline","4","second",2.997417,1229.7749170000002,63206.0,38651729.0
"baseline","5","first",3.2751249999999996,860.835292,63204.0,38651729.0
"adaptive","5","second",3.050875,839.2024580000001,63204.0,38651729.0
"adaptive","6","first",3.354666,722.3346670000001,63204.0,38651729.0
"baseline","6","second",3.0829160000000004,761.442166,63206.0,38651729.0
"baseline","7","first",3.5052920000000003,511.76887500000004,63204.0,38651729.0
"adaptive","7","second",3.345208,627.551375,63204.0,38651729.0
"adaptive","8","first",136.91958300000002,906.72825,63205.0,38651729.0
"baseline","8","second",3.445083,772.1067499999999,63204.0,38651729.0
"baseline","9","first",3.7864169999999997,665.628042,63204.0,38651729.0
"adaptive","9","second",3.134958,743.6264160000001,63204.0,38651729.0
