variant,round,order,initial_view_ms,wall_ms,initial_response_bytes,snapshot_retained_bytes
"baseline","1","first",2.827417,625.9638749999999,63204.0,38651729.0
"buffer16","1","second",163.25175,515.657209,63204.0,38651729.0
"buffer16","2","first",116.47025,383.88050000000004,63204.0,38651729.0
"baseline","2","second",2.96675,501.966167,63204.0,38651729.0
"baseline","3","first",3.092791,349.854084,63204.0,38651729.0
"buffer16","3","second",2.337417,344.525083,63204.0,38651729.0
"buffer16","4","first",3.7785409999999997,372.28383399999996,63204.0,38651729.0
"baseline","4","second",3.2845,312.283084,63204.0,38651729.0
"baseline","5","first",108.382708,466.39545799999996,63204.0,38651729.0
"buffer16","5","second",2.729167,532.287041,63205.0,38651729.0
"buffer16","6","first",2.34325,419.457375,63205.0,38651729.0
"baseline","6","second",3.458208,425.183666,63204.0,38651729.0
"baseline","7","first",5.348167,335.792792,63204.0,38651729.0
"buffer16","7","second",2.36125,1050.2762500000001,63206.0,38651729.0
"buffer16","8","first",6.084041,1084.164375,63206.0,38651729.0
"baseline","8","second",3.13275,1126.3481669999999,63207.0,38651729.0
"baseline","9","first",3.3564160000000003,749.261541,63204.0,38651729.0
"buffer16","9","second",2.4230419999999997,262.210125,63204.0,38651729.0
"buffer16","10","first",161.2305,967.1221250000001,63204.0,38651729.0
"baseline","10","second",3.059208,483.393375,63204.0,38651729.0
"baseline","11","first",227.435542,1086.4184169999999,63204.0,38651729.0
"buffer16","11","second",2.475958,872.352542,63204.0,38651729.0
"buffer16","12","first",7.389208,953.347834,63205.0,38651729.0
"baseline","12","second",3.258459,362.33,63204.0,38651729.0
"baseline","13","first",3.430041,545.7535,63204.0,38651729.0
"buffer16","13","second",171.984,795.286375,63204.0,38651729.0
"buffer16","14","first",2.750125,537.604667,63204.0,38651729.0
"baseline","14","second",110.057416,1053.320709,63204.0,38651729.0
"baseline","15","first",3.583209,619.187417,63204.0,38651729.0
"buffer16","15","second",178.544,652.6558329999999,63204.0,38651729.0
