variant,iteration,response_to_painted_frame_ms,list_rows,svg_paths,scroll_height_px,viewport_width,viewport_height
before,1,163.7,500,512,31000,880,620
before,2,166.8,500,512,31000,880,620
before,3,149.5,500,512,31000,880,620
before,4,148.6,500,512,31000,880,620
before,5,149.8,500,512,31000,880,620
before,6,146.4,500,512,31000,880,620
before,7,141.0,500,512,31000,880,620
before,8,152.9,500,512,31000,880,620
before,9,142.9,500,512,31000,880,620
after,1,106.4,500,512,31000,880,620
after,2,100.0,500,512,31000,880,620
after,3,94.4,500,512,31000,880,620
after,4,102.6,500,512,31000,880,620
after,5,100.6,500,512,31000,880,620
after,6,97.9,500,512,31000,880,620
after,7,98.6,500,512,31000,880,620
after,8,94.6,500,512,31000,880,620
after,9,96.3,500,512,31000,880,620
