workload,backend,round,order,variant,wall_ms,traversal_us,aggregation_us,entries_per_second,files,directories,duplicate_hard_links,logical_bytes,allocated_bytes,skipped_entries
controlled_hardlinks,jwalk,1,1,baseline,11.624189999999999,11292,304,4327355.282389569,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,1,2,candidate,11.986623999999999,11651,306,4196511.044310725,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,2,1,candidate,9.784647,9488,270,5140911.061993345,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,2,2,baseline,10.315407,10034,255,4876395.085525951,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,3,1,baseline,10.060067,9775,259,5000165.505855975,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,3,2,candidate,10.521486999999999,10239,256,4780883.158435686,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,4,1,candidate,9.319778000000001,9041,256,5397338.863651044,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,4,2,baseline,13.323160000000001,13091,207,3775530.7299469495,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,5,1,baseline,9.866029,9569,273,5098505.183797859,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,5,2,candidate,9.2759,8957,286,5422870.0180036435,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,6,1,candidate,9.064910000000001,8743,297,5549089.842039248,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,6,2,baseline,10.291853,10004,262,4887555.234222642,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,7,1,baseline,10.580067,10251,300,4754412.235763724,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,7,2,candidate,9.873451,9553,296,5094672.571930524,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,8,1,candidate,10.243350999999999,9891,327,4910697.6808663495,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,8,2,baseline,10.722548,10437,260,4691235.702558758,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,9,1,baseline,14.243168,13933,282,3531658.125495676,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,9,2,candidate,10.209568,9940,244,4926946.957990779,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,10,1,candidate,9.956531,9676,257,5052161.239692821,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,10,2,baseline,11.400324,11076,300,4412330.737266766,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,11,1,baseline,10.578237000000001,10287,266,4755234.733349234,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,11,2,candidate,9.249976,8971,255,5438068.163636317,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,12,1,candidate,9.617425,9342,251,5230298.130736657,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,12,2,baseline,10.636137999999999,10339,272,4729348.19010434,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,13,1,baseline,10.104976,9807,273,4977943.539895592,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,13,2,candidate,9.09718,8792,280,5529405.815868214,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,14,1,candidate,9.717338000000002,9402,288,5176520.565611693,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,14,2,baseline,12.729318,12358,331,3951664.9674397325,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,15,1,baseline,10.514199999999999,10233,256,4784196.610298454,50100,202,50000,409600,409600,0
controlled_hardlinks,jwalk,15,2,candidate,9.004712,8722,259,5586186.43217018,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,1,1,baseline,10.030961999999999,9365,627,5014673.5676996885,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,1,2,candidate,9.911336,9163,712,5075198.742127197,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,2,1,candidate,9.560445000000001,9013,513,5261470.569623066,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,2,2,baseline,12.715268,12365,319,3956031.441885456,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,3,1,baseline,10.342735000000001,10019,293,4863510.473777004,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,3,2,candidate,10.296261,9930,331,4885462.790813092,50100,202,50000,409600,409600,0
