variant,scale,iteration,entries,snapshot_retained_bytes,snapshot_bytes_per_entry,wall_ms,snapshot_release_ms
baseline,100k,1,100102,19099252,190.79790613574156,19.294532,0.854431
baseline,100k,2,100102,19099252,190.79790613574156,20.115662,0.764608
baseline,100k,3,100102,19099252,190.79790613574156,20.025729,0.769543
baseline,100k,4,100102,19099252,190.79790613574156,18.18442,0.747065
baseline,100k,5,100102,19099252,190.79790613574156,21.110647,1.114187
compact,100k,1,100102,18050676,180.32283071267307,20.703172,0.75163
compact,100k,2,100102,18050676,180.32283071267307,18.002471,1.046174
compact,100k,3,100102,18050676,180.32283071267307,19.719337,0.736625
compact,100k,4,100102,18050676,180.32283071267307,20.850317999999998,0.754147
compact,100k,5,100102,18050676,180.32283071267307,21.163731000000002,0.763904
baseline,1m,1,1000506,157423128,157.3435121828355,185.528568,14.269703
baseline,1m,2,1000506,157423128,157.3435121828355,165.885977,13.223187000000001
baseline,1m,3,1000506,157423128,157.3435121828355,166.477608,13.325949999999999
baseline,1m,4,1000506,157423128,157.3435121828355,152.108991,14.484017
baseline,1m,5,1000506,157423128,157.3435121828355,152.753677,14.044427
compact,1m,1,1000506,149034520,148.95914667178408,171.213425,12.850291
compact,1m,2,1000506,149034520,148.95914667178408,169.994487,13.459844
compact,1m,3,1000506,149034520,148.95914667178408,163.32081300000002,12.355108999999999
compact,1m,4,1000506,149034520,148.95914667178408,171.76219700000001,12.474698
compact,1m,5,1000506,149034520,148.95914667178408,174.036427,24.106942999999998
