workload,variant,iteration,cancellation_latency_us,entries_at_request,scan_elapsed_us
"directory-rich","baseline",1,199,2048,1678
"directory-rich","baseline",2,197,2048,1384
"directory-rich","baseline",3,208,2048,1362
"directory-rich","baseline",4,220,2048,1432
"directory-rich","baseline",5,188,2048,1392
"directory-rich","baseline",6,174,2048,1280
"directory-rich","baseline",7,198,2048,1366
"directory-rich","baseline",8,191,2048,1284
"directory-rich","baseline",9,192,2048,1324
"directory-rich","baseline",10,208,2048,1446
"directory-rich","baseline",11,124,2048,1096
"directory-rich","baseline",12,119,2048,904
"directory-rich","baseline",13,120,2048,858
"directory-rich","baseline",14,116,2048,898
"directory-rich","baseline",15,117,2048,856
"directory-rich","baseline",16,131,2048,853
"directory-rich","baseline",17,115,2048,848
"directory-rich","baseline",18,131,2048,912
"directory-rich","baseline",19,109,2048,942
"directory-rich","baseline",20,111,2048,930
"directory-rich","baseline",21,113,2048,830
"directory-rich","reuse",1,196,2048,1531
"directory-rich","reuse",2,169,2048,1278
"directory-rich","reuse",3,209,2048,1388
"directory-rich","reuse",4,186,2048,1335
"directory-rich","reuse",5,125,2048,1058
"directory-rich","reuse",6,127,2048,883
"directory-rich","reuse",7,109,2048,845
"directory-rich","reuse",8,117,2048,817
"directory-rich","reuse",9,128,2048,867
"directory-rich","reuse",10,135,2048,859
"directory-rich","reuse",11,218,2048,1343
"directory-rich","reuse",12,113,2048,1029
"directory-rich","reuse",13,120,2048,914
"directory-rich","reuse",14,107,2048,835
"directory-rich","reuse",15,115,2048,944
"directory-rich","reuse",16,112,2048,856
"directory-rich","reuse",17,108,2048,895
"directory-rich","reuse",18,105,2048,894
"directory-rich","reuse",19,114,2048,909
"directory-rich","reuse",20,118,2048,926
"directory-rich","reuse",21,117,2048,894
"real","baseline",1,198,3119,3507
"real","baseline",2,193,3684,3758
"real","baseline",3,149,3685,2940
"real","baseline",4,160,3684,2972
"real","baseline",5,162,3793,3048
"real","baseline",6,176,3684,2526
"real","baseline",7,125,3684,2563
"real","baseline",8,115,3684,2193
"real","baseline",9,123,3684,2285
"real","baseline",10,121,3733,1857
"real","baseline",11,102,3733,2201
"real","baseline",12,109,3678,1694
"real","baseline",13,89,2907,1362
"real","baseline",14,101,3684,1699
"real","baseline",15,103,3751,1687
"real","baseline",16,104,3685,1610
"real","baseline",17,94,3679,1620
"real","baseline",18,97,3685,1493
"real","baseline",19,100,3685,1636
"real","baseline",20,118,3682,1609
"real","baseline",21,113,3326,1368
"real","reuse",1,124,3685,2723
"real","reuse",2,117,3590,1655
"real","reuse",3,113,3684,2131
"real","reuse",4,198,3980,2590
"real","reuse",5,152,3684,2954
"real","reuse",6,219,3685,3261
"real","reuse",7,148,3685,2889
"real","reuse",8,214,3758,2792
"real","reuse",9,192,3684,2577
"real","reuse",10,181,3685,2136
"real","reuse",11,165,3591,2607
"real","reuse",12,187,3792,3223
"real","reuse",13,118,3685,2856
"real","reuse",14,96,3745,1761
"real","reuse",15,103,3680,1536
"real","reuse",16,106,3804,1982
"real","reuse",17,167,3685,2175
"real","reuse",18,146,3905,2023
"real","reuse",19,163,3081,1723
"real","reuse",20,164,3669,1749
"real","reuse",21,150,3744,2786
