workload,round,variant,wall_ms,traversal_us,aggregation_us,entries_per_second
"directory-rich",1,"baseline",57.310821,56535,691,1921120.620484568
"directory-rich",1,"reuse",42.769575999999994,41963,723,2574283.177368885
"directory-rich",2,"baseline",44.707076,43603,1017,2462719.7716978854
"directory-rich",2,"reuse",44.350016,43566,705,2482547.018697806
"directory-rich",3,"baseline",47.581255000000006,45867,1582,2313957.460768952
"directory-rich",3,"reuse",48.163686999999996,47342,729,2285975.324106728
"directory-rich",4,"baseline",37.687043,36893,705,2921454.9944924037
"directory-rich",4,"reuse",36.789621000000004,35980,715,2992719.0606285394
"directory-rich",5,"baseline",49.960091,49178,708,2203779.012332063
"directory-rich",5,"reuse",39.617289,38809,719,2779114.946507319
"directory-rich",6,"baseline",42.025130000000004,40265,1632,2619884.816537153
"directory-rich",6,"reuse",46.101008,45320,695,2388255.805599739
"directory-rich",7,"baseline",38.419931999999996,37638,710,2865726.0507384553
"directory-rich",7,"reuse",43.252398,42464,705,2545546.723212896
"directory-rich",8,"baseline",38.607554,37766,758,2851799.4172850214
"directory-rich",8,"reuse",44.674686,43855,733,2464505.2905352265
"directory-rich",9,"baseline",43.643283999999994,42017,1497,2522747.829883746
"directory-rich",9,"reuse",37.980822999999994,37182,709,2898857.6682501063
"directory-rich",10,"baseline",53.589664,51924,1548,2054519.319247831
"directory-rich",10,"reuse",52.141117,51320,727,2111596.496868297
"directory-rich",11,"baseline",39.596165,38703,780,2780597.5654460476
"directory-rich",11,"reuse",60.784164000000004,59898,793,1811343.4940061031
"directory-rich",12,"baseline",54.302632,52613,1565,2027544.4475693183
"directory-rich",12,"reuse",40.744856000000006,39955,717,2702206.1386104785
"directory-rich",13,"baseline",40.853479,40036,727,2695021.395852236
"directory-rich",13,"reuse",40.033506,39190,754,2750221.2771471976
"directory-rich",14,"baseline",42.386113,41557,728,2597572.4643587866
"directory-rich",14,"reuse",36.094201,35275,731,3050379.2008029213
"directory-rich",15,"baseline",43.450959999999995,42624,745,2533914.0953387455
"directory-rich",15,"reuse",49.381085,48604,696,2229618.8915249635
"wide",1,"baseline",17.896154,16953,658,5593492.322428606
"wide",1,"reuse",21.831168,19940,1441,4585279.175168273
"wide",2,"baseline",20.719468000000003,19819,603,4831301.653111942
"wide",2,"reuse",17.526204,16382,671,5711561.956028813
"wide",3,"baseline",16.452334999999998,14828,1173,6084364.3166760225
"wide",3,"reuse",20.453115,19542,615,4894217.824522084
"wide",4,"baseline",18.209135,16632,1166,5497350.64296025
"wide",4,"reuse",19.225259,18252,694,5206795.913646729
"wide",5,"baseline",21.296354,20351,651,4700429.003011501
"wide",5,"reuse",21.4046,20518,596,4676658.288405296
"wide",6,"baseline",18.712053,16948,1298,5349600.067934822
"wide",6,"reuse",17.916933,16982,647,5587005.320609281
"wide",7,"baseline",19.62714,18719,606,5100182.706191529
"wide",7,"reuse",17.557796,16644,631,5701285.058785282
"wide",8,"baseline",20.17173,18462,1466,4962489.583193906
"wide",8,"reuse",20.212094,18268,1517,4952579.3814337095
"wide",9,"baseline",19.353087000000002,18397,647,5172404.795162653
"wide",9,"reuse",19.439267,17662,1334,5149474.0002285065
"wide",10,"baseline",21.224725,19477,1315,4716291.966091434
"wide",10,"reuse",20.148954,18633,1100,4968099.08841918
"wide",11,"baseline",20.201828000000003,19102,806,4955096.142784702
"wide",11,"reuse",19.701735000000003,17879,1363,5080872.3191130115
"wide",12,"baseline",18.02388,16346,1253,5553854.109104144
"wide",12,"reuse",20.929395,19982,653,4782842.504525334
"wide",13,"baseline",19.173473,17579,1284,5220859.0483320365
"wide",13,"reuse",18.712937,16916,1302,5349347.352582868
"wide",14,"baseline",19.10482,17514,1156,5239620.158682468
"wide",14,"reuse",19.015097,18119,618,5264343.379368508
"wide",15,"baseline",19.610473,17803,1370,5104517.366817211
"wide",15,"reuse",18.993684000000002,17064,1470,5270278.267238731
"real",1,"baseline",166.915699,163401,3405,2372652.796427495
"real",1,"reuse",153.903326,150409,3396,2573258.2283504386
"real",2,"baseline",152.972435,149855,3000,2588917.408551417
"real",2,"reuse",183.855129,177562,6133,2154049.235145352
"real",3,"baseline",167.740612,164575,3051,2360984.589706874
"real",3,"reuse",145.305198,142180,3002,2725525.3456245936
"real",4,"baseline",209.97060000000002,206831,3030,1886135.4875396842
"real",4,"reuse",219.554394,212867,6529,1803803.571337315
"real",5,"baseline",195.128796,191665,3332,2029597.9277194946
"real",5,"reuse",171.216025,167881,3193,2313060.3575220252
"real",6,"baseline",149.05320899999998,145804,3123,2656990.7662974233
"real",6,"reuse",146.97322400000002,143872,2983,2694592.859989245
"real",7,"baseline",152.421738,149173,3122,2598271.120619291
"real",7,"reuse",153.309699,148197,5002,2583222.083033377
"real",8,"baseline",167.80416300000002,164761,2922,2360090.434705127
"real",8,"reuse",152.854098,149702,3049,2590921.703649712
"real",9,"baseline",145.982259,142862,3010,2712884.4471436767
"real",9,"reuse",156.697925,153529,3060,2527365.9494852917
"real",10,"baseline",157.25402599999998,153973,3133,2518428.3676145757
"real",10,"reuse",154.775934,151384,3279,2558750.5096238023
"real",11,"baseline",164.874343,161765,2980,2402029.2835981157
"real",11,"reuse",173.93891,170821,2996,2276851.1082425434
"real",12,"baseline",170.16700300000002,166989,3064,2327319.592036301
"real",12,"reuse",159.58603599999998,156481,2989,2481626.901240908
"real",13,"baseline",138.164604,135060,2975,2866385.373203111
"real",13,"reuse",141.07123199999998,137882,3079,2807326.443423986
"real",14,"baseline",165.90717899999999,162746,3026,2387075.7274463694
"real",14,"reuse",155.105367,151921,3071,2553315.901699262
"real",15,"baseline",148.626809,141771,6702,2664613.488405043
"real",15,"reuse",181.96322700000002,178877,2960,2176445.24407121
"real",16,"baseline",204.142097,201029,2976,1939986.9297903804
"real",16,"reuse",188.68922799999999,182879,5686,2098863.852471748
"real",17,"baseline",174.151815,167102,6873,2274067.6001567943
"real",17,"reuse",172.940766,169742,3049,2289992.169920191
"real",18,"baseline",189.640321,184981,4546,2088337.5323963936
"real",18,"reuse",171.532899,168306,3112,2308787.4239215185
"real",19,"baseline",176.61854,171085,5418,2242307.0647056648
"real",19,"reuse",143.886144,140788,2976,2752405.4018710796
"real",20,"baseline",150.438723,147248,3080,2632520.3518245765
"real",20,"reuse",151.264362,148184,2956,2618151.392460836
"real",21,"baseline",191.847408,188756,2957,2064312.487349321
"real",21,"reuse",143.910087,140682,3116,2751947.4712012373
"real",22,"baseline",164.470057,161316,3025,2407933.74322233
"real",22,"reuse",157.56297,154463,2974,2513490.3207270084
"real",23,"baseline",142.953495,139869,2961,2770362.4874648917
"real",23,"reuse",143.7315,140541,3075,2755366.7776374696
"real",24,"baseline",142.371827,139270,2974,2781680.957146107
"real",24,"reuse",146.25211900000002,143023,3112,2707878.714564129
"real",25,"baseline",157.215874,154122,2982,2519039.521416266
"real",25,"reuse",150.436452,147349,2963,2632560.0925499094
"real",26,"baseline",169.78257,166661,3009,2332589.264021625
"real",26,"reuse",181.20281999999997,178149,2919,2185578.568810353
