backend,variant,iteration,wall_ms,traversal_us,aggregation_us,entries_per_second,response_bytes,serialization_us,chart_items
"jwalk","baseline",1,114.698513,111323,2851,3452817.2130705826,70734,51,512
"jwalk","baseline",2,110.61019,107273,2833,3580438.6557875006,70734,51,512
"jwalk","baseline",3,114.740621,111097,3232,3451550.0835575922,70734,51,512
"jwalk","baseline",4,112.780404,109433,2831,3511540.8879010575,70734,51,512
"jwalk","baseline",5,106.330669,103360,2839,3724541.59956428,70734,57,512
"jwalk","baseline",6,116.626548,113272,2875,3395736.2778155794,70734,52,512
"jwalk","baseline",7,114.659835,110673,3379,3453981.945813894,70734,52,512
"jwalk","baseline",8,109.377404,106379,2868,3620793.5598837216,70734,52,512
"jwalk","baseline",9,114.066851,110279,3314,3471937.6973069943,70734,51,512
"statx","baseline",1,153.10119799999998,149566,3419,2586740.0462797163,70051,54,512
"statx","baseline",2,140.069041,136980,2970,2827412.804232735,69976,63,512
"statx","baseline",3,151.88848299999998,148802,2972,2607393.2149286135,69967,66,512
"statx","baseline",4,150.81965399999999,144795,5259,2625871.2939362666,70081,94,512
"statx","baseline",5,143.94891800000002,140765,3069,2751205.118471262,70168,52,512
"statx","baseline",6,138.318211,134931,2928,2863202.1563668144,70079,51,512
"statx","baseline",7,133.62669599999998,130504,3001,2963726.649351564,70163,66,512
"statx","baseline",8,143.936827,140520,3292,2751436.2255602595,70025,52,512
"statx","baseline",9,140.086397,136322,3136,2827062.502007243,70005,55,512
"statx","reuse",1,164.962621,159493,5347,2400743.8630597414,70012,54,512
"statx","reuse",2,150.697761,147285,2982,2627995.249378655,70106,52,512
"statx","reuse",3,150.74199099999998,147630,3005,2627224.1554776863,70081,53,512
"statx","reuse",4,135.053118,131548,3062,2932423.966694349,70081,54,512
"statx","reuse",5,150.244924,147104,3038,2635916.006054221,70025,54,512
"statx","reuse",6,132.00403599999999,128566,2982,3000158.2678881125,70089,56,512
"statx","reuse",7,133.879007,130690,3073,2958141.152032895,70111,63,512
"statx","reuse",8,136.040053,132378,3243,2911149.9978612917,70100,49,512
"statx","reuse",9,140.305748,137284,2906,2822642.733068926,70090,66,512
