pair,variant,wall_ms,max_rss_bytes,snapshot_retained_bytes,snapshot_bytes_per_entry
1,baseline,31.340709,35487744,20376415,201.72471315005296
1,compact,30.354750,38289408,19327855,191.34406153785233
2,compact,29.244542,38322176,19327855,191.34406153785233
2,baseline,28.363834,44515328,20376415,201.72471315005296
3,baseline,29.177000,35586048,20376415,201.72471315005296
3,compact,28.857791,38354944,19327855,191.34406153785233
4,compact,29.243917,29556736,19327855,191.34406153785233
4,baseline,38.765167,35356672,20376415,201.72471315005296
5,baseline,28.862125,35471360,20376415,201.72471315005296
5,compact,29.407833,37896192,19327855,191.34406153785233
6,compact,30.737958,38141952,19327855,191.34406153785233
6,baseline,30.854541,35504128,20376415,201.72471315005296
7,baseline,30.938250,35176448,20376415,201.72471315005296
7,compact,30.463084,37634048,19327855,191.34406153785233
8,compact,28.963541,38240256,19327855,191.34406153785233
8,baseline,30.797708,44924928,20376415,201.72471315005296
9,baseline,27.828000,44482560,20376415,201.72471315005296
9,compact,27.796791,37732352,19327855,191.34406153785233
10,compact,27.959291,37519360,19327855,191.34406153785233
10,baseline,29.981459,35012608,20376415,201.72471315005296
11,baseline,27.862750,35160064,20376415,201.72471315005296
11,compact,27.497583,37797888,19327855,191.34406153785233
