variant,iteration,files,directories,entries,logical_bytes,allocated_bytes,duplicate_hard_links,skipped_entries,wall_ms,traversal_us,aggregation_us,entries_per_second,initial_view_ms,response_bytes,serialization_us,chart_items
baseline,1,8197,5,8202,16788236,12560,1,0,194.4793,192815,75,42174.1543,0.3066,3534,29,26
baseline,2,8197,5,8202,16788236,12560,1,0,202.0793,200304,75,40588.0266,0.4433,3534,18,26
baseline,3,8197,5,8202,16788236,12560,1,0,207.7813,205782,87,39474.1971,0.3465,3534,12,26
baseline,4,8197,5,8202,16788236,12560,1,0,211.2385,209159,94,38828.1492,0.3774,3534,14,26
baseline,5,8197,5,8202,16788236,12560,1,0,218.8213,216800,90,37482.6399,0.3476,3534,14,26
baseline,6,8197,5,8202,16788236,12560,1,0,189.7306,187730,97,43229.7162,0.4701,3534,18,26
baseline,7,8197,5,8202,16788236,12560,1,0,184.4816,182622,103,44459.7185,0.4375,3535,16,26
baseline,8,8197,5,8202,16788236,12560,1,0,170.0643,168495,79,48228.8170,0.3497,3534,11,26
baseline,9,8197,5,8202,16788236,12560,1,0,167.7780,166195,88,48886.0280,0.3667,3534,12,26
bounded_batches,1,8197,5,8202,16788236,12560,1,0,142.6154,141322,69,57511.3207,0.2928,3534,52,26
bounded_batches,2,8197,5,8202,16788236,12560,1,0,155.6907,154132,109,52681.3740,0.3504,3535,13,26
bounded_batches,3,8197,5,8202,16788236,12560,1,0,155.0947,153819,66,52883.8187,0.2885,3534,12,26
bounded_batches,4,8197,5,8202,16788236,12560,1,0,146.8197,145636,67,55864.4378,0.2389,3534,12,26
bounded_batches,5,8197,5,8202,16788236,12560,1,0,141.3952,140153,62,58007.6269,0.2833,3534,12,26
bounded_batches,6,8197,5,8202,16788236,12560,1,0,145.8065,144599,62,56252.6362,0.2612,3534,12,26
bounded_batches,7,8197,5,8202,16788236,12560,1,0,137.3151,135887,63,59731.2313,0.2847,3534,13,26
bounded_batches,8,8197,5,8202,16788236,12560,1,0,141.6316,140447,64,57910.8052,0.2740,3534,12,26
bounded_batches,9,8197,5,8202,16788236,12560,1,0,145.5753,144161,92,56341.9756,0.3002,3534,12,26
