platform,filesystem,backend,fixture,iteration,wall_delta_ms,aggregation_delta_ms,baseline_retained_bytes,candidate_retained_bytes,release_delta_ms,entries
macos,apfs,getattrlistbulk,directory-rich,1,-12.029084,0.187,18773279,18270663,0.094625,110101
macos,apfs,getattrlistbulk,directory-rich,2,-0.700792,0.105,18773279,18270663,-0.035168,110101
macos,apfs,getattrlistbulk,directory-rich,3,2.556501,0.140,18773279,18270663,-0.060291,110101
macos,apfs,getattrlistbulk,directory-rich,4,14.013166,0.092,18773279,18270663,-0.314958,110101
macos,apfs,getattrlistbulk,directory-rich,5,0.604125,0.114,18773279,18270663,-0.030833,110101
macos,apfs,getattrlistbulk,directory-rich,6,1.344708,0.081,18773279,18270663,-0.037584,110101
macos,apfs,getattrlistbulk,directory-rich,7,1.526667,0.173,18773279,18270663,0.026167,110101
macos,apfs,getattrlistbulk,directory-rich,8,0.823792,0.195,18773279,18270663,0.018916,110101
macos,apfs,getattrlistbulk,directory-rich,9,20.483542,0.185,18773279,18270663,0.113208,110101
macos,apfs,getattrlistbulk,directory-rich,10,13.944708,0.154,18773279,18270663,0.092876,110101
macos,apfs,getattrlistbulk,directory-rich,11,-6.645708,0.158,18773279,18270663,-0.137875,110101
macos,apfs,getattrlistbulk,wide,1,-15.691459,-0.050,18050701,18031261,-0.076708,100102
macos,apfs,getattrlistbulk,wide,2,-0.255084,0.041,18050701,18031261,0.077625,100102
macos,apfs,getattrlistbulk,wide,3,6.405750,0.016,18050701,18031261,0.070167,100102
macos,apfs,getattrlistbulk,wide,4,2.438750,0.092,18050701,18031261,0.570249,100102
macos,apfs,getattrlistbulk,wide,5,2.582791,0.061,18050701,18031261,0.042625,100102
macos,apfs,getattrlistbulk,wide,6,-1.730125,-0.015,18050701,18031261,-0.022458,100102
macos,apfs,getattrlistbulk,wide,7,1.013750,-0.092,18050701,18031261,0.078208,100102
macos,apfs,getattrlistbulk,wide,8,54.875792,0.023,18050701,18031261,0.049750,100102
macos,apfs,getattrlistbulk,wide,9,0.897042,-0.046,18050701,18031261,0.063041,100102
macos,apfs,getattrlistbulk,wide,10,-0.299084,0.042,18050701,18031261,0.032583,100102
macos,apfs,getattrlistbulk,wide,11,-13.134291,0.001,18050701,18031261,0.034375,100102
linux,ext4,statx,directory-rich,1,1.686840,0.157,18773251,18270635,-0.144985,110101
linux,ext4,statx,directory-rich,2,-7.933655,-0.475,18773251,18270635,-0.959690,110101
linux,ext4,statx,directory-rich,3,18.728998,1.125,18773251,18270635,0.353718,110101
linux,ext4,statx,directory-rich,4,1.204858,1.079,18773251,18270635,0.238389,110101
linux,ext4,statx,directory-rich,5,-1.748554,0.247,18773251,18270635,-0.185261,110101
linux,ext4,statx,directory-rich,6,-8.214319,0.174,18773251,18270635,-0.114147,110101
linux,ext4,statx,directory-rich,7,-3.567049,0.161,18773251,18270635,-0.160320,110101
linux,ext4,statx,directory-rich,8,-8.615830,0.230,18773251,18270635,-0.146288,110101
linux,ext4,statx,directory-rich,9,-3.312846,-0.556,18773251,18270635,-1.020206,110101
linux,ext4,statx,wide,1,-3.947992,-0.403,18050673,18031233,-0.228161,100102
linux,ext4,statx,wide,2,-1.633099,0.046,18050673,18031233,0.036626,100102
linux,ext4,statx,wide,3,1.958848,0.167,18050673,18031233,0.002730,100102
linux,ext4,statx,wide,4,1.543257,0.580,18050673,18031233,0.277864,100102
linux,ext4,statx,wide,5,3.716549,-0.455,18050673,18031233,-0.320530,100102
linux,ext4,statx,wide,6,3.699681,0.602,18050673,18031233,0.089382,100102
linux,ext4,statx,wide,7,1.313606,0.128,18050673,18031233,0.121233,100102
linux,ext4,statx,wide,8,4.835340,0.125,18050673,18031233,-0.026943,100102
linux,ext4,statx,wide,9,-1.602501,0.072,18050673,18031233,-0.082004,100102
