workload,iteration,order,entries,baseline_wall_ms,candidate_wall_ms,baseline_traversal_us,candidate_traversal_us,baseline_retained_bytes,candidate_retained_bytes,baseline_release_ms,candidate_release_ms
10k,1,baseline-candidate,10115,101.7822,104.5026,100684,103465,2461117,1608669,0.3859,0.3726
10k,2,candidate-baseline,10115,108.0676,107.8447,106904,106744,2461117,1608669,0.4045,0.4028
10k,3,baseline-candidate,10115,108.5659,110.2376,107454,109180,2461117,1608669,0.3937,0.3942
10k,4,candidate-baseline,10115,107.8294,106.7674,106727,105664,2461117,1608669,0.3710,0.4105
10k,5,baseline-candidate,10115,120.4796,118.3382,119461,117277,2461117,1608669,0.4440,0.3966
10k,6,candidate-baseline,10115,120.9573,115.2902,119822,114200,2461117,1608669,0.4005,0.3932
10k,7,baseline-candidate,10115,110.4565,117.0625,109441,116070,2461117,1608669,0.3814,0.4197
10k,8,candidate-baseline,10115,110.4702,116.9963,109450,116015,2461117,1608669,0.4043,0.4177
10k,9,baseline-candidate,10115,123.7934,117.8965,122817,116900,2461117,1608669,0.4063,0.3855
10k,10,candidate-baseline,10115,123.6038,122.8916,122569,121865,2461117,1608669,0.4278,0.3836
10k,11,baseline-candidate,10115,123.7200,121.8290,122723,120886,2461117,1608669,0.4202,0.4060
10k,12,candidate-baseline,10115,122.5646,115.9025,121543,114826,2461117,1608669,0.3633,0.4476
10k,13,baseline-candidate,10115,123.3395,126.7604,122283,125763,2461117,1608669,0.3979,0.4949
10k,14,candidate-baseline,10115,119.9918,123.9025,119018,122911,2461117,1608669,0.3847,0.4089
10k,15,baseline-candidate,10115,114.4363,112.8470,113459,111689,2461117,1608669,0.4323,0.4902
100k,1,baseline-candidate,100115,1321.1380,1505.7531,1315752,1500459,20128685,15918669,2.9614,3.1108
100k,2,candidate-baseline,100115,1351.9107,1295.4378,1346824,1290322,20128685,15918669,2.8649,2.9284
100k,3,baseline-candidate,100115,1329.2677,1317.3717,1324067,1312324,20128685,15918669,2.7847,2.8503
100k,4,candidate-baseline,100115,1346.7739,1852.4448,1341687,1847238,20128685,15918669,2.9086,4.2728
100k,5,baseline-candidate,100115,1453.0645,1284.1475,1447758,1279026,20128685,15918669,2.9819,2.9542
100k,6,candidate-baseline,100115,1535.9911,1374.0438,1530536,1368834,20128685,15918669,3.2495,2.8201
100k,7,baseline-candidate,100115,1445.9447,1373.0162,1440173,1367788,20128685,15918669,3.3172,2.9400
100k,8,candidate-baseline,100115,1284.1631,1395.8866,1278936,1390784,20128685,15918669,3.0117,3.1342
100k,9,baseline-candidate,100115,1372.6704,1278.9369,1367485,1273929,20128685,15918669,3.0338,2.8940
