platform,run_kind,iteration,logical_bytes,elapsed_us,mib_per_second,cancel_requested_at_bytes,bytes_read,cancellation_latency_us
linux,complete,1,536870912,170098,3010.030,,536870912,
linux,complete,2,536870912,164563,3111.270,,536870912,
linux,complete,3,536870912,157596,3248.813,,536870912,
linux,complete,4,536870912,156872,3263.807,,536870912,
linux,complete,5,536870912,164302,3116.213,,536870912,
linux,complete,6,536870912,165044,3102.203,,536870912,
linux,complete,7,536870912,164094,3120.163,,536870912,
linux,cancelled,1,536870912,87266,,268435456,268435456,40
linux,cancelled,2,536870912,86737,,268435456,268435456,38
linux,cancelled,3,536870912,80107,,268435456,268435456,210
linux,cancelled,4,536870912,78558,,268435456,268435456,41
linux,cancelled,5,536870912,80451,,268435456,268435456,27
linux,cancelled,6,536870912,96802,,268435456,268435456,35
linux,cancelled,7,536870912,80931,,268435456,268435456,33
