platform,run_kind,iteration,logical_bytes,elapsed_us,mib_per_second,cancel_requested_at_bytes,bytes_read,cancellation_latency_us
macos,complete,1,536870912,239981,2133.502,,536870912,
macos,complete,2,536870912,237930,2151.893,,536870912,
macos,complete,3,536870912,235571,2173.442,,536870912,
macos,complete,4,536870912,242619,2110.305,,536870912,
macos,complete,5,536870912,232207,2204.929,,536870912,
macos,complete,6,536870912,238887,2143.273,,536870912,
macos,complete,7,536870912,242040,2115.353,,536870912,
macos,cancelled,1,536870912,127096,,268435456,269484032,581
macos,cancelled,2,536870912,120997,,268435456,269484032,527
macos,cancelled,3,536870912,116593,,268435456,269484032,467
macos,cancelled,4,536870912,118831,,268435456,269484032,496
macos,cancelled,5,536870912,116765,,268435456,269484032,482
macos,cancelled,6,536870912,123887,,268435456,269484032,546
macos,cancelled,7,536870912,126419,,268435456,269484032,495
linux,complete,1,536870912,153210,3341.818,,536870912,
linux,complete,2,536870912,164032,3121.342,,536870912,
linux,complete,3,536870912,169845,3014.513,,536870912,
linux,complete,4,536870912,158983,3220.470,,536870912,
linux,complete,5,536870912,162172,3157.142,,536870912,
linux,complete,6,536870912,166569,3073.801,,536870912,
linux,complete,7,536870912,172655,2965.451,,536870912,
linux,cancelled,1,536870912,81358,,268435456,269484032,346
linux,cancelled,2,536870912,81437,,268435456,269484032,344
linux,cancelled,3,536870912,82324,,268435456,269484032,339
linux,cancelled,4,536870912,81154,,268435456,269484032,344
linux,cancelled,5,536870912,82151,,268435456,269484032,337
linux,cancelled,6,536870912,89295,,268435456,269484032,349
linux,cancelled,7,536870912,81113,,268435456,269484032,353
