platform,bun_version,implementation,iteration,first,operations,elapsed_us,checksum
macos,1.3.14,per_call,1,per_call,10000,161261,38146
macos,1.3.14,cached,1,per_call,10000,2602,38146
macos,1.3.14,per_call,2,cached,10000,158369,38146
macos,1.3.14,cached,2,cached,10000,2523,38146
macos,1.3.14,per_call,3,per_call,10000,158749,38146
macos,1.3.14,cached,3,per_call,10000,2531,38146
macos,1.3.14,per_call,4,cached,10000,158895,38146
macos,1.3.14,cached,4,cached,10000,2454,38146
macos,1.3.14,per_call,5,per_call,10000,157739,38146
macos,1.3.14,cached,5,per_call,10000,2495,38146
macos,1.3.14,per_call,6,cached,10000,158667,38146
macos,1.3.14,cached,6,cached,10000,2479,38146
macos,1.3.14,per_call,7,per_call,10000,161845,38146
macos,1.3.14,cached,7,per_call,10000,2606,38146
macos,1.3.14,per_call,8,cached,10000,159319,38146
macos,1.3.14,cached,8,cached,10000,2495,38146
macos,1.3.14,per_call,9,per_call,10000,160087,38146
macos,1.3.14,cached,9,per_call,10000,2475,38146
linux,1.2.21,per_call,1,per_call,10000,152174,38146
linux,1.2.21,cached,1,per_call,10000,1982,38146
linux,1.2.21,per_call,2,cached,10000,153816,38146
linux,1.2.21,cached,2,cached,10000,2389,38146
linux,1.2.21,per_call,3,per_call,10000,163018,38146
linux,1.2.21,cached,3,per_call,10000,2293,38146
linux,1.2.21,per_call,4,cached,10000,146083,38146
linux,1.2.21,cached,4,cached,10000,1959,38146
linux,1.2.21,per_call,5,per_call,10000,145348,38146
linux,1.2.21,cached,5,per_call,10000,1903,38146
linux,1.2.21,per_call,6,cached,10000,141169,38146
linux,1.2.21,cached,6,cached,10000,1870,38146
linux,1.2.21,per_call,7,per_call,10000,153332,38146
linux,1.2.21,cached,7,per_call,10000,1839,38146
linux,1.2.21,per_call,8,cached,10000,140270,38146
linux,1.2.21,cached,8,cached,10000,1814,38146
linux,1.2.21,per_call,9,per_call,10000,139948,38146
linux,1.2.21,cached,9,per_call,10000,1804,38146
