pair,first,variant,entries_at_request,scan_elapsed_us,cancellation_latency_us
1,four,four,2048,2361,82
1,four,eight,2048,1973,138
2,eight,eight,2048,1953,105
2,eight,four,2048,2261,76
3,four,four,2048,2288,87
3,four,eight,2048,1983,117
4,eight,eight,2048,2074,193
4,eight,four,2048,2783,84
5,four,four,2048,2854,87
5,four,eight,2048,1949,115
6,eight,eight,2048,1844,114
6,eight,four,2048,2264,136
7,four,four,2048,2257,85
7,four,eight,2048,1967,111
8,eight,eight,2048,1969,124
8,eight,four,2048,2210,139
9,four,four,2048,2333,84
9,four,eight,2048,2114,191
10,eight,eight,2048,1899,115
10,eight,four,2048,2108,94
11,four,four,2048,2541,84
11,four,eight,2048,2035,190
12,eight,eight,2048,1976,119
12,eight,four,2048,2137,88
13,four,four,2048,2299,87
13,four,eight,2048,2002,123
14,eight,eight,2048,1989,223
14,eight,four,2048,2452,82
15,four,four,2048,2378,129
15,four,eight,2048,1965,112
16,eight,eight,2048,1898,96
16,eight,four,2048,2515,140
17,four,four,2048,2217,78
17,four,eight,2048,2003,181
18,eight,eight,2048,2119,207
18,eight,four,2048,2243,143
19,four,four,2048,2325,96
19,four,eight,2048,2033,102
20,eight,eight,2048,1986,232
20,eight,four,2048,2389,76
21,four,four,2048,2839,101
21,four,eight,2048,1954,118
