pair,first,variant,wall_ms,traversal_us,aggregation_us,snapshot_release_ms
1,four,four,115.849500,114918,864,2.438000
1,four,eight,114.382000,113478,840,2.489625
2,eight,eight,115.639958,114700,877,2.453000
2,eight,four,113.550708,112596,882,2.497667
3,four,four,118.716958,117665,976,2.610959
3,four,eight,116.443250,115527,856,2.546459
4,eight,eight,114.294750,113408,818,2.455334
4,eight,four,112.844209,111821,955,2.472042
5,four,four,115.887500,114861,892,2.319041
5,four,eight,130.425167,129469,888,2.607625
6,eight,eight,114.404209,113456,885,2.543958
6,eight,four,115.350959,114345,859,2.600708
7,four,four,118.436459,117450,925,2.506292
7,four,eight,138.761583,137768,922,2.965375
8,eight,eight,114.941625,114018,866,2.520750
8,eight,four,118.768625,117874,826,2.404708
9,four,four,113.194125,112188,925,2.377708
9,four,eight,114.804625,113852,881,2.536208
10,eight,eight,116.600958,115664,875,2.592959
10,eight,four,113.855083,112931,867,2.436834
11,four,four,116.908708,115974,867,2.450958
11,four,eight,120.371959,119385,924,2.749917
12,eight,eight,114.842083,113857,847,2.493375
12,eight,four,111.883333,110932,886,2.517125
13,four,four,114.667583,113695,905,2.433042
13,four,eight,115.193750,114147,903,2.486375
14,eight,eight,113.780417,112835,872,2.504458
14,eight,four,112.496042,111476,958,2.413250
15,four,four,114.747000,113715,954,2.472917
15,four,eight,115.335167,114336,923,2.491000
16,eight,eight,116.111667,115173,870,2.582208
16,eight,four,112.952917,112038,854,2.518292
17,four,four,113.233084,112296,869,2.544916
17,four,eight,116.133375,115039,937,2.636458
18,eight,eight,114.758250,113819,871,2.501292
18,eight,four,113.535333,112530,931,2.519542
19,four,four,115.946417,114932,943,2.495292
19,four,eight,114.915000,113906,932,2.470625
20,eight,eight,114.601375,113485,942,2.630375
20,eight,four,114.960084,113794,1096,2.474084
21,four,four,114.125834,113210,842,2.450375
21,four,eight,115.608333,114609,842,2.558708
22,eight,eight,116.249500,115270,847,2.525500
22,eight,four,113.723417,112723,929,2.653083
23,four,four,118.895709,117893,850,2.475333
23,four,eight,115.540459,114564,919,2.473916
24,eight,eight,126.488417,125494,925,2.593292
24,eight,four,113.667708,112696,904,2.479125
25,four,four,118.673375,117698,908,2.526208
25,four,eight,116.163417,115081,950,2.504125
26,eight,eight,115.363750,114301,914,2.638167
26,eight,four,115.415375,114458,895,2.575959
27,four,four,114.564916,113526,971,2.483334
27,four,eight,119.173042,118104,992,2.496792
28,eight,eight,117.120792,116004,958,2.556834
28,eight,four,115.664958,114712,885,2.552959
29,four,four,113.225292,112210,950,2.365125
29,four,eight,114.472750,113568,836,2.614333
30,eight,eight,127.560292,126564,920,2.551583
30,eight,four,120.359333,119301,984,2.485500
31,four,four,113.360125,112477,816,2.393333
31,four,eight,114.597916,113655,871,2.490750
