pair,variant,wall_ms,progress_events,traversal_us,aggregation_us
1,baseline,30.061708,50,29203,736
1,candidate,28.264834,1,27299,758
2,candidate,27.291875,1,26431,743
2,baseline,27.659708000000002,50,26708,743
3,baseline,27.3635,50,26501,741
3,candidate,30.228,1,29371,743
4,candidate,26.291416,1,25357,738
4,baseline,28.246584000000002,50,27262,764
5,baseline,27.907667,50,27063,730
5,candidate,29.244333,1,28292,812
6,candidate,32.2175,1,31212,861
6,baseline,36.735667,50,35677,923
7,baseline,28.361291,50,27399,745
7,candidate,29.272833000000002,1,28381,761
8,candidate,27.918458,1,27018,783
8,baseline,49.065166,50,48232,720
9,baseline,27.393125,50,26449,739
9,candidate,27.222875000000002,1,26382,727
10,candidate,27.156833,1,26212,734
10,baseline,28.176666,50,27259,794
11,baseline,27.602666000000003,50,26756,727
11,candidate,27.160208,1,26233,723
12,candidate,27.795125,1,26737,796
12,baseline,38.172708,50,37128,825
13,baseline,38.527417,50,37660,748
13,candidate,42.648542,1,41776,755
14,candidate,43.312917,1,42450,748
14,baseline,41.618625,50,40745,742
15,baseline,42.063458,50,41181,760
15,candidate,42.54666700000001,1,41627,791
16,candidate,42.319875,1,41400,786
16,baseline,42.95979199999999,50,42053,776
17,baseline,37.5345,50,36619,793
17,candidate,36.477250000000005,1,35593,752
18,candidate,32.591,1,31705,768
18,baseline,27.041791,50,26172,745
19,baseline,28.219791,50,27232,768
19,candidate,27.779041,1,26958,707
20,candidate,27.651333,1,26724,796
20,baseline,28.509541,50,27561,740
21,baseline,53.314792,50,52346,749
21,candidate,28.577875,1,27578,772
