pair,variant,wall_ms,progress_events,traversal_us,aggregation_us
1,baseline,22.476988,1,21067,1241
1,candidate,23.386671,1,22458,808
2,candidate,23.177712,1,21792,1197
2,baseline,23.523989,1,21775,1570
3,baseline,24.456438000000002,1,23669,661
3,candidate,22.576641000000002,1,21790,663
4,candidate,18.333855,1,17552,665
4,baseline,22.386613999999998,1,21627,622
5,baseline,22.40737,1,20972,1260
5,candidate,23.620634000000003,1,22896,603
6,candidate,27.797806,1,27042,634
6,baseline,24.989667999999998,1,24173,683
7,baseline,23.664982000000002,1,22920,615
7,candidate,25.992847,1,24537,1271
8,candidate,22.036393,1,21269,649
8,baseline,22.631507,1,21891,613
9,baseline,23.108149,1,21960,1022
9,candidate,23.881367,1,22409,1288
10,candidate,21.442597,1,20650,669
10,baseline,28.956437,1,27463,1313
11,baseline,24.961157,1,24229,606
11,candidate,24.869156,1,23476,1218
12,candidate,23.542903,1,22257,1122
12,baseline,21.306782,1,20493,679
13,baseline,24.00344,1,22632,1188
13,candidate,24.488262,1,22923,1394
14,candidate,23.419813,1,22623,667
14,baseline,23.973041000000002,1,22557,1240
15,baseline,25.496957000000002,1,24778,589
15,candidate,23.558763,1,22843,587
16,candidate,24.824192,1,24033,668
16,baseline,27.599783,1,26218,1211
17,baseline,23.245022000000002,1,21734,1335
17,candidate,24.379163,1,22926,1275
18,candidate,22.135531999999998,1,21307,703
18,baseline,21.728931,1,20427,1179
19,baseline,27.493351999999998,1,26013,1306
19,candidate,23.821641,1,23035,659
20,candidate,28.780628999999998,1,27356,1243
20,baseline,25.155739,1,23670,1305
21,baseline,23.24605,1,21803,1261
21,candidate,24.149387,1,22746,1216
22,candidate,22.654609999999998,1,21894,636
22,baseline,24.388223,1,23457,803
23,baseline,24.676487,1,23698,838
23,candidate,20.803264,1,19235,1395
24,candidate,21.909932,1,21127,665
24,baseline,21.649296,1,20852,673
25,baseline,22.427762,1,21617,683
25,candidate,20.478061999999998,1,19678,671
26,candidate,23.230549,1,22425,673
26,baseline,21.593649,1,20782,665
27,baseline,21.699955,1,20875,693
27,candidate,20.586228000000002,1,19046,1357
28,candidate,20.733295,1,19968,642
28,baseline,24.369727,1,23250,996
29,baseline,25.604637999999998,1,24877,603
29,candidate,21.224126,1,20438,661
30,candidate,20.05449,1,19235,694
30,baseline,23.32784,1,21925,1229
31,baseline,18.960055,1,18151,677
31,candidate,24.476199,1,23096,1200
